Date,FEIcm1,FEIcm2,FEIcm3,FEIcm4,FEIcm5,FEIcm6,FEIcm7,FEIcm8,FEIcm9,FEIcm10,FEIcm11,FEIcm12,FEIcm13,FEIcm14,FEIcm15,FEIcm16,FEIcm17,FEIcm18,FEIcm19,FEIcm20
2015-09-17,100.035,100.035,100.03,100.015,99.985,99.95,99.905,99.855,99.8,99.735,99.66,99.58,99.495,99.41,99.32,99.23,99.14,99.055,98.97,98.89
2015-09-18,100.035,100.04,100.04,100.03,100.01,99.98,99.945,99.9,99.85,99.79,99.72,99.645,99.565,99.485,99.405,99.32,99.235,99.155,99.07,98.99
2015-09-21,100.04,100.045,100.045,100.035,100.015,99.985,99.945,99.9,99.85,99.785,99.715,99.635,99.555,99.47,99.385,99.3,99.215,99.135,99.05,98.97
2015-09-22,100.055,100.065,100.07,100.065,100.05,100.025,99.99,99.95,99.9,99.84,99.77,99.695,99.62,99.545,99.465,99.385,99.305,99.23,99.15,99.07
2015-09-23,100.05,100.055,100.06,100.055,100.04,100.015,99.98,99.935,99.885,99.825,99.755,99.675,99.595,99.52,99.44,99.36,99.275,99.195,99.115,99.035
2015-09-24,100.05,100.055,100.06,100.055,100.035,100.01,99.975,99.935,99.885,99.825,99.76,99.685,99.61,99.535,99.46,99.38,99.3,99.225,99.145,99.065
2015-09-25,100.045,100.05,100.05,100.04,100.02,99.99,99.955,99.915,99.865,99.805,99.735,99.66,99.585,99.51,99.43,99.35,99.265,99.185,99.105,99.025
2015-09-28,100.05,100.055,100.06,100.05,100.03,100.005,99.97,99.93,99.88,99.82,99.755,99.68,99.605,99.53,99.455,99.38,99.3,99.225,99.15,99.075
2015-09-29,100.055,100.06,100.065,100.06,100.04,100.015,99.98,99.94,99.89,99.83,99.76,99.685,99.605,99.53,99.455,99.38,99.3,99.225,99.15,99.075
2015-09-30,100.05,100.06,100.065,100.06,100.045,100.02,99.985,99.945,99.895,99.835,99.765,99.69,99.61,99.535,99.46,99.385,99.31,99.235,99.16,99.085
2015-10-01,100.055,100.065,100.075,100.07,100.055,100.035,100.005,99.965,99.915,99.855,99.79,99.72,99.645,99.575,99.5,99.425,99.35,99.275,99.195,99.115
2015-10-02,100.065,100.075,100.085,100.08,100.065,100.045,100.015,99.98,99.935,99.88,99.815,99.74,99.665,99.595,99.525,99.455,99.38,99.305,99.23,99.155
2015-10-05,100.06,100.07,100.075,100.07,100.055,100.035,100.005,99.965,99.92,99.86,99.795,99.72,99.64,99.565,99.49,99.415,99.335,99.26,99.18,99.1
2015-10-06,100.06,100.065,100.065,100.06,100.045,100.02,99.99,99.95,99.9,99.84,99.775,99.7,99.62,99.54,99.46,99.38,99.3,99.225,99.145,99.065
2015-10-07,100.06,100.06,100.06,100.05,100.035,100.01,99.975,99.935,99.885,99.825,99.76,99.685,99.605,99.53,99.45,99.37,99.29,99.215,99.135,99.055
2015-10-08,100.055,100.06,100.06,100.055,100.04,100.015,99.985,99.945,99.895,99.84,99.775,99.7,99.62,99.54,99.46,99.38,99.3,99.225,99.145,99.065
2015-10-09,100.055,100.06,100.06,100.05,100.035,100.01,99.975,99.935,99.885,99.825,99.76,99.685,99.605,99.525,99.445,99.365,99.285,99.21,99.13,99.05
2015-10-12,100.055,100.06,100.06,100.055,100.04,100.015,99.985,99.945,99.9,99.845,99.78,99.71,99.635,99.56,99.485,99.41,99.33,99.255,99.175,99.095
2015-10-13,100.06,100.065,100.07,100.06,100.045,100.02,99.985,99.945,99.895,99.84,99.775,99.705,99.63,99.55,99.47,99.395,99.315,99.24,99.16,99.08
2015-10-14,100.06,100.07,100.075,100.07,100.055,100.035,100.005,99.97,99.925,99.87,99.81,99.74,99.67,99.6,99.525,99.45,99.375,99.3,99.22,99.14
2015-10-15,100.07,100.075,100.08,100.075,100.06,100.035,100.0,99.96,99.915,99.86,99.8,99.73,99.655,99.58,99.505,99.43,99.35,99.275,99.195,99.115
2015-10-16,100.075,100.085,100.09,100.085,100.07,100.045,100.015,99.975,99.93,99.875,99.81,99.735,99.66,99.585,99.51,99.43,99.35,99.27,99.19,99.11
2015-10-19,100.075,100.085,100.09,100.085,100.075,100.055,100.025,99.985,99.935,99.88,99.815,99.74,99.665,99.585,99.505,99.425,99.345,99.265,99.185,99.105
2015-10-20,100.065,100.07,100.075,100.07,100.055,100.03,99.995,99.955,99.905,99.845,99.775,99.7,99.62,99.54,99.455,99.37,99.285,99.205,99.125,99.045
2015-10-21,100.07,100.075,100.08,100.075,100.06,100.035,100.005,99.97,99.925,99.87,99.81,99.74,99.665,99.585,99.505,99.425,99.345,99.265,99.185,99.105
2015-10-22,100.105,100.125,100.135,100.135,100.12,100.095,100.065,100.025,99.975,99.92,99.855,99.78,99.705,99.625,99.545,99.47,99.39,99.31,99.23,99.15
2015-10-23,100.11,100.135,100.15,100.15,100.135,100.11,100.075,100.035,99.985,99.925,99.86,99.785,99.71,99.63,99.55,99.47,99.39,99.31,99.23,99.15
2015-10-26,100.11,100.14,100.16,100.16,100.15,100.13,100.1,100.06,100.01,99.955,99.89,99.815,99.735,99.66,99.58,99.5,99.42,99.34,99.26,99.18
2015-10-27,100.12,100.15,100.17,100.175,100.17,100.15,100.12,100.085,100.04,99.985,99.92,99.85,99.775,99.7,99.625,99.545,99.465,99.39,99.31,99.235
2015-10-28,100.12,100.16,100.18,100.185,100.175,100.155,100.125,100.09,100.045,99.995,99.935,99.865,99.785,99.71,99.63,99.55,99.47,99.395,99.315,99.24
2015-10-29,100.115,100.14,100.155,100.15,100.14,100.115,100.085,100.045,99.995,99.94,99.875,99.8,99.72,99.635,99.55,99.465,99.38,99.3,99.22,99.14
2015-10-30,100.11,100.135,100.15,100.15,100.135,100.11,100.08,100.04,99.99,99.93,99.865,99.79,99.71,99.63,99.545,99.46,99.38,99.3,99.22,99.14
2015-11-02,100.11,100.135,100.15,100.145,100.13,100.1,100.065,100.025,99.975,99.915,99.845,99.77,99.69,99.605,99.52,99.435,99.35,99.27,99.19,99.11
