,Date,FEIcm1,FEIcm2,FEIcm3,FEIcm4,FEIcm5,FEIcm6,FEIcm7,FEIcm8,FEIcm9,FEIcm10,FEIcm11,FEIcm12,FEIcm13,FEIcm14,FEIcm15,FEIcm16,FEIcm17,FEIcm18,Inverse of FEIcm1,Inverse of FEIcm2,Inverse of FEIcm3,Inverse of FEIcm4,Inverse of FEIcm5,Inverse of FEIcm6,Inverse of FEIcm7,Inverse of FEIcm8,Inverse of FEIcm9,Inverse of FEIcm10,Inverse of FEIcm11,Inverse of FEIcm12,Inverse of FEIcm13,Inverse of FEIcm14,Inverse of FEIcm15,Inverse of FEIcm16,Inverse of FEIcm17,Inverse of FEIcm18
0,2023-01-022023-01-032023-01-04,0.0,0.0,0.14,0.29000000000000004,0.31,0.28,0.22000000000000003,0.1,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.06,0.06,0.07,0.06
1,2023-01-032023-01-042023-01-05,0.0,0.0,0.15000000000000002,0.29000000000000004,0.32,0.28,0.23000000000000004,0.11000000000000001,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.06,0.06,0.06,0.07,0.06
2,2023-01-042023-01-052023-01-06,0.0,0.0,0.15000000000000002,0.31,0.33,0.29000000000000004,0.24,0.12,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.06,0.06,0.06,0.07,0.06
3,2023-01-052023-01-062023-01-09,0.0,0.0,0.16,0.32,0.33,0.29000000000000004,0.24,0.11,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.06,0.06,0.06,0.06,0.06,0.07
4,2023-01-062023-01-092023-01-10,0.0,0.0,0.16999999999999998,0.32,0.33,0.30000000000000004,0.23,0.1,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.06,0.06,0.06,0.06,0.06,0.07
5,2023-01-092023-01-102023-01-11,0.0,0.0,0.18,0.31000000000000005,0.33,0.30000000000000004,0.23000000000000004,0.1,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.06,0.06,0.06,0.06,0.06,0.07
6,2023-01-102023-01-112023-01-12,0.0,0.0,0.18,0.31,0.33,0.30000000000000004,0.23000000000000004,0.11000000000000001,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9299999999999999,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.06,0.06,0.07,0.06,0.06,0.06
7,2023-01-112023-01-122023-01-13,0.0,0.0,0.18,0.32,0.33,0.30000000000000004,0.24,0.12,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999999,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.06,0.07,0.06,0.06,0.06
8,2023-01-122023-01-132023-01-16,0.0,0.0,0.18,0.33,0.33,0.30000000000000004,0.24,0.12,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.06,0.08,0.06,0.07,0.07
9,2023-01-132023-01-162023-01-17,0.0,0.0,0.18,0.33,0.33999999999999997,0.30000000000000004,0.24,0.12,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8300000000000001,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.06,0.06,0.07,0.07,0.08,0.08
10,2023-01-162023-01-172023-01-18,0.0,0.0,0.19,0.33999999999999997,0.35,0.30000000000000004,0.24,0.12,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.06,0.06,0.08,0.07,0.08,0.08
11,2023-01-172023-01-182023-01-19,0.0,0.0,0.2,0.33999999999999997,0.37,0.30000000000000004,0.23,0.12,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.06,0.07,0.07,0.07,0.07
12,2023-01-182023-01-192023-01-20,0.0,0.0,0.2,0.33999999999999997,0.38,0.30000000000000004,0.23000000000000004,0.12,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8300000000000001,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.07,0.06,0.06,0.06
13,2023-01-192023-01-202023-01-23,0.0,0.0,0.19,0.32,0.39,0.30000000000000004,0.23000000000000004,0.12,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8500000000000001,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.06,0.06,0.06,0.06
14,2023-01-202023-01-232023-01-24,0.0,0.0,0.18,0.31000000000000005,0.38,0.31,0.24,0.12,0.07,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.11000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.06,0.06,0.06,0.06
15,2023-01-232023-01-242023-01-25,0.0,0.0,0.18,0.30000000000000004,0.38,0.32,0.23,0.12,0.07,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8500000000000001,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.06,0.06,0.06,0.06
