,Date,FEIcm2,FEIcm3,FEIcm4,FEIcm5,FEIcm6,FEIcm7,FEIcm8,FEIcm9,FEIcm10,FEIcm11,FEIcm12,FEIcm13,FEIcm14,FEIcm15,FEIcm16,FEIcm17,FEIcm18,FEIcm19,Inverse of FEIcm2,Inverse of FEIcm3,Inverse of FEIcm4,Inverse of FEIcm5,Inverse of FEIcm6,Inverse of FEIcm7,Inverse of FEIcm8,Inverse of FEIcm9,Inverse of FEIcm10,Inverse of FEIcm11,Inverse of FEIcm12,Inverse of FEIcm13,Inverse of FEIcm14,Inverse of FEIcm15,Inverse of FEIcm16,Inverse of FEIcm17,Inverse of FEIcm18,Inverse of FEIcm19
0,2023-01-022023-01-032023-01-04,1.06,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.03,0.04,0.04,0.05,0.0,0.0,0.16999999999999998,0.32,0.33999999999999997,0.30000000000000004,0.24,0.11000000000000001,0.07,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2023-01-032023-01-042023-01-05,1.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.03,0.04,0.04,0.06,0.0,0.0,0.16999999999999998,0.32,0.33999999999999997,0.30000000000000004,0.24,0.12,0.08,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2023-01-042023-01-052023-01-06,0.95,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.04,0.04,0.05,0.06,0.0,0.0,0.16999999999999998,0.33,0.35,0.30000000000000004,0.24,0.12,0.08,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2023-01-052023-01-062023-01-09,0.94,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.05,0.03,0.05,0.06,0.0,0.0,0.18,0.33999999999999997,0.35,0.30000000000000004,0.24,0.12,0.09,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2023-01-062023-01-092023-01-10,0.9299999999999999,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.03,0.06,0.03,0.06,0.05,0.0,0.0,0.19,0.33999999999999997,0.36,0.31,0.24,0.12,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2023-01-092023-01-102023-01-11,0.9299999999999999,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.06,0.03,0.05,0.05,0.0,0.0,0.2,0.33999999999999997,0.36,0.32,0.25,0.13,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2023-01-102023-01-112023-01-12,0.9099999999999999,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.04,0.06,0.04,0.05,0.05,0.0,0.0,0.2,0.33,0.36,0.33,0.26,0.13,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2023-01-112023-01-122023-01-13,0.8899999999999999,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.06,0.05,0.05,0.06,0.0,0.0,0.21000000000000002,0.33999999999999997,0.36,0.33,0.27,0.13,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-01-122023-01-132023-01-16,0.86,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.21000000000000002,0.35,0.36,0.32,0.26,0.13,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2023-01-132023-01-162023-01-17,0.8300000000000001,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.21000000000000002,0.36,0.36,0.32,0.25,0.14,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2023-01-162023-01-172023-01-18,0.8,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.22000000000000003,0.36,0.36,0.31000000000000005,0.24,0.14,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2023-01-172023-01-182023-01-19,0.79,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.23000000000000004,0.36,0.37,0.31000000000000005,0.23,0.13,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2023-01-182023-01-192023-01-20,0.8200000000000001,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.23,0.35,0.38,0.30000000000000004,0.23000000000000004,0.12,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
